Fall 2017	Spring 2018	Summer 2018	Fall 2018	Spring 2019	Summer 2019	Fall 2019	Spring 2020	Summer 2020	Fall 2020	Spring 2021	Summer 2021	Fall 2021	Spring 2022	Summer 2022	Fall 2022	Spring 2023	Summer 2023
(EEB 490) Undergrad Dept Seminar	(EEB 490) Undergrad Dept Seminar		(EEB 490) Undergrad Dept Seminar	(EEB 490) Undergrad Dept Seminar		(EEB 490) Undergrad Dept Seminar	(EEB 490) Undergrad Dept Seminar		(EEB 490) Undergrad Dept Seminar	(EEB 490) Undergrad Dept Seminar		(EEB 490) Undergrad Dept Seminar	(EEB 490) Undergrad Dept Seminar		(EEB 490) Undergrad Dept Seminar	(EEB 490) Undergrad Dept Seminar	
																	
																	
	(EEB 493) Field Ecology Follow-Up		(EEB 493) Population Modeling Lab	(EEB 493) Professional Development			(EEB 493) Professional Development			(EEB 493) Professional Development			(EEB 493) Professional Development			(EEB 493) Professional Development	
																	
				(EEB 496) Intro to EEB Seminar													
	(EEB 504/593) Art/Organism: Int Biol Aes Exp			(EEB 504) Invasion Biology			(EEB 504) Invasion Biology			(EEB 504) Invasion Biology			(EEB 504) Invasion Biology				
	(EEB 504) Invasion Biology																
	(EEB 602) Landscape Ecology			(EEB 602) Landscape Ecology													
(EEB 504) Math Ecology Seminar / MATH 589	(EEB 504) Math Ecology Seminar / MATH 589		(EEB 504) Math Ecology Seminar / MATH 589	(EEB 504) Math Ecology Seminar / MATH 589		(EEB 504) Math Ecology Seminar / MATH 589	(EEB 504) Math Ecology Seminar / MATH 589		(EEB 504) Math Ecology Seminar / MATH 589	(EEB 504) Math Ecology Seminar / MATH 589		(EEB 504) Math Ecology Seminar / MATH 589	(EEB 504) Math Ecology Seminar / MATH 589				
	(EEB 507) Ecol/Evol Biol Seminar 2nd & 4th Yr Stud			(EEB 507) Ecol/Evol Biol Seminar 2nd & 4th Yr Stud			(EEB 507) Ecol/Evol Biol Seminar 2nd & 4th Yr Stud			(EEB 507) Ecol/Evol Biol Seminar 2nd & 4th Yr Stud			(EEB 507) Ecol/Evol Biol Seminar 2nd & 4th Yr Stud				
	(EEB 509) Core Ecology			(EEB 509) Core Ecology			(EEB 509) Core Ecology			(EEB 509) Core Ecology			(EEB 509) Core Ecology				
(EEB 511) Core Evolution			(EEB 511) Core Evolution			(EEB 511) Core Evolution			(EEB 511) Core Evolution			(EEB 511) Core Evolution					
(EEB 550) Ecological Niche Models and Species Distributions			(EEB 550) Ecological Niche Models and Species Distributions			(EEB 550) Ecological Niche Models and Species Distributions			(EEB 550) Ecological Niche Models and Species Distributions			(EEB 550) Ecological Niche Models and Species Distributions					
(EEB 560) Biometry			(EEB 560) Biometry			(EEB 560) Biometry			(EEB 560) Biometry			(EEB 560) Biometry					
(EEB 581) Mathematical Ecology I/Math 581			(EEB 581) Mathematical Ecology I/Math 581			(EEB 581) Mathematical Ecology I/Math 581			(EEB 581) Mathematical Ecology I/Math 581			(EEB 581) Mathematical Ecology I/Math 581					
	(EEB 582) Mathematical Ecology II/Math 582			(EEB 582) Mathematical Ecology II/Math 582			(EEB 582) Mathematical Ecology II/Math 582			(EEB 582) Mathematical Ecology II/Math 582			(EEB 582) Mathematical Ecology II/Math 582				
				(EEB 583) Zoogeography						(EEB 583) Zoogeography							
				(EEB 585) Mathematical Evol Theory/Math 583						(EEB 585) Mathematical Evol Theory/Math 583							
	(EEB 587) Phylogenetic Methods			(EEB 587) Phylogenetic Methods			(EEB 587) Phylogenetic Methods			(EEB 587) Phylogenetic Methods			(EEB 587) Phylogenetic Methods				
				(EEB 598) Bio Edu: Theory-Practice / BCMB 598 / MICR 598						(EEB 598) Bio Edu: Theory-Practice / BCMB 598 / MICR 598							
